input,match,product_guide,product_guide_count
Chicken Karaage,(11) CRISPY CHIX ORIGINAL 1KG,"(11) CRISPY CHIX ORIGINAL 1KG, FS01 FRIED 2 JOINT WING, A09 CRUNCHY BONELESS THIGH",3
Fresh brown egg's (600G)10s,CHEW'S FRESH BROWN EGGS (600G) 10S,CHEW'S FRESH BROWN EGGS (600G) 10S,1
Tay nugget,TEMPURA CHICKEN NUGGET,"TEMPURA CHICKEN NUGGET, FS05 FRIED CRISPY THIGH, CRISPY CHICKEN ROLL 500G X 20PKT, FS07 FRIED CRISPY DRUM",4
Seaweed chicken,Chicken Seaweed (NM) 1kgx6pkt CN 紫菜鸡,"Hash Browns Triangle (Ecofrost) 2.5kgx4pkt BE 三角, CHICKEN SEAWEED (ROYAL) 1KGX12PKT CN 紫菜鸡, Fish Chip Red (PFP) 500gmx20pkt TH 泰鱼片(红), MIXED VEGETABLES (SHAN) 1KGX10PKT CN 杂豆, Chicken Seaweed (NM) 1kgx6pkt CN 紫菜鸡, GREEN PEAS (SHAN) 1KGX10PKT CN 青豌豆, Crispy Chicken Nugget (Freezepak) 1kgx9pkt TH泰国麦鸡块, Chicken Franks 10pcs (Perdix) 340gmx24pkt BR 热狗, Japanese Crispy Chicken Seaweed (CS Tay) 1kgx10pkt",9
Fz Frimessa pork collar 1no,PORK COLLAR (FRIMESA) -20KG BR,"Canada Pork Belly B/L S/L 加拿大去皮肚肉, PORK COLLAR (FRIMESA) -20KG BR, Canada Pork Jowl Fillet 加拿大脸肉, PORK SLICE 4MMx3CMx3CM NORMAL TS(6PKTx2KG), Canada Pork Shoulder Butt 加拿大五花, BEEF KNUCKLE SLICE 1.5MM X 5CM X 5CM TS(6PKTx2KG)",6
Minced meat grade 80/20,Minced Meat Grade A上等搅肉,"Minced Meat Grade B搅肉, Minced Meat Grade A上等搅肉, Pork Big Bone Cut 切割大骨, CHICKEN LEG B/L S/O 200G VAC (6PKTX2KG) TH",4
Cooked prawn,"COOKED TIGER PRAWN 31/40, 10KG - PJAA","COOKED TIGER PRAWN 30/40, 10KG - PJ, COOKED TIGER PRAWN 31/40, 10KG - PJAA",4
Honey mid wing,ROASTED MID JT WING,"BATTERED ONION RING (10PKT), A01 SPICY WINGSTICK, (33) CRISPY CHICKEN SEAWEED 1KG, (22) SUPER CRISPY CHICKEN 1KG, ROASTED WINGSTICK 1KG, ROASTED MID JT WING, FS01 FRIED 2 JOINT WING",7
老虎虾,BLACK TIGER HOSO 16/20 (1OKGS) - PJ,"SQUID SKEWER 180GM 10PCS, 1.8KG X 5PKT (9KG/CTN) - PO, SUTCHI - BUTTERFLY CUT 800-1000, 10KGS, BLACK TIGER HOSO 16/20 (1OKGS) - PJ, 1/2 SHELL SCALLOP WITH ROE 9-10 - SPOF",6
Mince meat,PULLED PORK (TAKAGI) VAC(10PKTx1KG),"SHOYU SOUP (TAKAGI) TS(20PKTx1KG)(K), KARAKA RAMEN (TAKAGI) (12PKTx450G)(K), PORK BELLY A R/ON SIN/R SB/I 20x50(BOSELER)VAC DE, CHICKEN SAUSAGE (20PKTx1KG), RAMEN CHAR SIEW SLICE (TAKAGI) VAC(10PKT), BUTASHOGA RAMEN (TAKAGI) (12PKTx450G)(K), PULLED PORK (TAKAGI) VAC(10PKTx1KG), PORK HONEY BAKED HAM SLICED (GB) VAC(10PKTx1KG)",8
Goose skin dry green,OOS (2A)(青)素干鹅400G VGN CRISPY SOYA (GREEN)********** (70 PC),"素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (2A)(青)素干鹅400G VGN CRISPY SOYA (GREEN)********** (70 PC), (1A-23A) - 经济香鱼片- 900G VEG ECONOMICAL FISH SLICE (20 PC), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), (2B) - *三角形*署片2KG - TRIANGLE TATERS PATTI (6 PC), (2A)素大春卷600G SPRING ROLL (BIG)**** *** ****** (15 PC), 新春送礼 2025 CNY GIFTS, (2A-31) - 玉署署Yu Su Su Corn **************, (1A-3A) 素香味鸡丁900G VGN CRISPY CHICKEN DICED (20 PC)",9
素大板鱼,(1A24A)(味根香) 素大板鱼500G VGN OSAKA FISH (32 PC),"(1A24A)(味根香) 素大板鱼500G VGN OSAKA FISH (32 PC), (1A-24B) - (900G) 味根香 小 明虾 - SMALL PRAWN (20 PC), (1B-51A ) 炸腐竹 550G VGN FRIED YUBA (30PCS) (20 PC), (1A25A) - (黑) 腌鸭 切片 素世界-900G SMOKED DUCK DICE (10 PC), (65B)梅膏 5L - PLUM SAUCE, (2B-71) -香春酱300G - VEGAN CEDAR TOON SAUCE (80 PC), (2-70) 大罐 美乃滋酱 3L- VEGAN MAYONAISE (4 PC)",7
台湾香肠,CHICKEN TAIWAN SAUSAGE (V12) 500GMX20PKT SG 鸡肉台湾香肠,"Hash Browns Triangle (Ecofrost) 2.5kgx4pkt BE 三角, CHICKEN TAIWAN SAUSAGE (S.S.KIM) 500GMX20PKT SG, Fish Chip Red (PFP) 500gmx20pkt TH 泰鱼片(红), MIXED VEGETABLES (SHAN) 1KGX10PKT CN 杂豆, Fish Burger Breaded - L 32pcs (Dodo) 2.4kgx6pkt MY, CHICKEN TAIWAN SAUSAGE (V12) 500GMX20PKT SG 鸡肉台湾香肠, Fish Kembong G/G 8/10 (D) 1kgx10pkt TH",7
Chicken wings 120-150 grams,Chicken Wing 120-150gm (Aurora) 9kg BR 鸡翅,"CHICKEN WING 100-120GM (PERDIGAO) 15KG BR 鸡翅, Chicken Ham Picnic - S (GC) 1kgx20pkt SG 鸡火腿, Chicken Leg B/L S/O 200gmUp (Seara) 2kgx6pktBR鸡去骨腿, Pork Collar (Frimesa) 20kg BR 梅肉, Chicken Leg B/L S/O 200gm Up(Aurora)2kgx6pkt BR, Chicken Wing 120-150gm (Aurora) 9kg BR 鸡翅, Chicken Wing 120-150gm (Perdigao) 15kg BR 鸡翅, CHICKEN LEG B/L S/O 200GM UP (SADIA) 2KGX6PKT BR",8
Popcorn chicken,A11 POP CORN CHICKEN 1KG,"N1 CHICKEN NUGGET (10PKT), A11 POP CORN CHICKEN 1KG, TEMPURA CHICKEN NUGGET",3
Fries,FARMCHEF STRAIGHT CUT COATED (6PKT X 2KG) (FOR PON),"SUTCHI FILLET 230/300GM, SQUARE (6 KGS) 84, WHITE CLAM WITH SHELL 40/60 (1KG X 10PKTS) - PO, CHICKEN MID JOINT - 30GM (SEARA) 1KG X 12P, FARMCHEF STRAIGHT CUT COATED (6PKT X 2KG) (FOR PON), WHOLE BLACK MUSSEL 5-8CM/PC (1KG X 10PKT) - PO, PAN ROYAL TEMPURA IKA (500G X 10PKT)",7
SF86-0272SG VANNAMEI PDTO IQF 51/60,VANNAMEI PDTO IQF 51/60 (10PKTx1KG),"FISH BATANG STEAK GRADE A (OKEANOSS) ID -10KG, VANNAMEI PDTO IQF 51/60 (10PKTx1KG), FISH DORY STEAK (TWINFISH)(5PKT X 2KG) VN",3
素高鲜调味料,(1-90) 素高鲜调味料 908G VEG ENHANCED FLAVOUR SEASONING 908G (10 PC),"(1-90) 素高鲜调味料 908G VEG ENHANCED FLAVOUR SEASONING 908G (10 PC), 素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), (2B) 素咖哩角400G VGN SAMOSA ********* (20 PC), 新春送礼 2025 CNY GIFTS, (2A)素小春卷400G SPRING ROLL (SMALL) ***** (20 PC)",6
Yam,YAM THAI 泰国芋头,"(ES.S) EGYPTIAN STAR SAKURA (10G/PUN), GRAPEFRUIT PINK 葡萄柚 (250G-350G/PCS), LIME SEEDLESS 无子青柠檬, LIME SMALL / CALAMANSI 酸柑 / 柑仔, YAM THAI 泰国芋头, YAM 芋头",6
苏东丸,CUTTLEFISH BALL (500GM X 2PACK),"HANDMADE FISH CAKE, CUTTLEFISH BALL (500GM X 2PACK), TAU KEE PUFF, CUTTLEFISH WANTON, CRAB BALL (500GM X 2PACK), LONG FISH CAKE, TEOCHEW FISH CAKE (20PCS), BEANCURD ROLL",8
鱿鱼串,"SQUID SKEWER 130GM 10PCS, 1.3KG X 5PKT (6.5KG/CTN) - PO","FLOWER YELLOW CLAM 30/40 (500GM X 20P/CTN) - PO, CHUKA BABY OCTOPUS (2KG X 4TUBS/CTN) -EPOH, SQUID SKEWER 130GM 10PCS, 1.3KG X 5PKT (6.5KG/CTN) - PO, BLACK TIGER HOSO 16/20 (1OKGS) - PJ, OYSTER MEAT (S), 1KG X 10PKTS, SUN OCEAN",8
金目鲈,FRESH SEABASS 500G (G) - BTF,"FRESH SEABASS 500G (G) - BTF, 21/25 PTO VANNAMEI SHRIMP (1KG X 10P) - PO, FLOWER YELLOW CLAM 30/40 (500GM X 20P/CTN) - PO, SUTCHI (CUBE) 25/35 (2KG X 3PKTS), FRESH TILAPIA 400/600G (G)",5
Spicy chicken,SPICY CHICKEN CUTLET,"SPICY CHICKEN CUTLET, A01 SPICY WINGSTICK, (33) CRISPY CHICKEN SEAWEED 1KG, KT01 CHICKEN KATSU 70G, YAKITORI WITH SAUCE, A11 POP CORN CHICKEN 1KG, TERIYAKI STEAK S/LESS 1KG, (99) S/L CHIX BREAST FILLET 1.15KG, FS03 CRISPY CHICKEN STRIP",9
紫菜鸡2,Seaweed Chicken (紫菜鸡),"Nugget/金鸡块, Cheese Tofu (芝士豆腐), Seaweed Chicken (紫菜鸡), BIG FISH BALL (XL) 特大鱼丸, 手工菜果SHOU GONG CAI GUO, Ngoh Hiang Ball (五香丸), QQ Pork sausage (台湾香肠－猪), Bee Hoon (米粉)",8
Fried Beancurd roll,Fried Beancurd Roll (炸豆支卷),"Fried Fish Ball (炸鱼丸) -A, Fried Beancurd Roll (炸豆支卷), Nugget/金鸡块",3
Chicken diced d,(1A-3A) 素香味鸡丁900G VGN CRISPY CHICKEN DICED (20 PC),"素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (1A-23A) - 经济香鱼片- 900G VEG ECONOMICAL FISH SLICE (20 PC), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), 2024 日历 - FREE CALENDAR WP *****, 新春送礼 2025 CNY GIFTS, (2A-31) - 玉署署Yu Su Su Corn **************, (1A-3A) 素香味鸡丁900G VGN CRISPY CHICKEN DICED (20 PC)",7
老虎虾,BLACK TIGER HOSO 16/20 (1OKGS) - PJ,BLACK TIGER HOSO 16/20 (1OKGS) - PJ,1
Roaster wing,A03 COOKED WINGSTICK,"BATTERED ONION RING (10PKT), A01 SPICY WINGSTICK, A03 COOKED WINGSTICK, A11 POP CORN CHICKEN 1KG, TEMPURA CHICKEN NUGGET, N1 CHICKEN NUGGET (10PKT)",6
tempera  Chicken patty,TM02 TEMPURA CHIX PATTIE 1KG X 10 PKT,"TAKOYAKI 1KG, TM02 TEMPURA CHIX PATTIE 1KG X 10 PKT, A11 POP CORN CHICKEN 1KG, FISH PATTY (5PKT)",4
sweet corn,SWEET CORN KERNELS (SHAN)1KGX10PKT CN 甜玉米粒,"CREAM DORY FILLET 220-300GM 6KG (2) VN  多利魚, Chicken Breast Half B/L S/L (Aurora) 2kgx6pkt BR, CHICKEN BREAST HALF B/L S/L (AVIVAR) 2KGX6PKT BR, BROCCOLI FLOWER (SHAN) 1KGX10PKT CN 花椰菜花, SWEET CORN KERNELS (SHAN)1KGX10PKT CN 甜玉米粒",5
boneless chicken leg,CHICKEN LEG B/L S/O 200GM UP (SADIA) 2KGX6PKT BR,"CHICKEN WHOLE (NAT) 1200GMX10PKT BR 1200鸡, Chicken Whole 1200gm (HLRB) 1200gmx10pkt MY, Chicken Drumstick B/IN S/O (Wayne Farms) 15kg US, CHICKEN LEG B/L S/O 200GM UP (SADIA) 2KGX6PKT BR, SERVICE FEE, Chicken Whole 1200gm (Perdigao) 1200gmx10pkt BR",6
prawn,VANNAMEI PRAWN PND 31/40 1KGX10PKT 虾肉,"PORK LUNCHEON MEAT (Q3) 397GMX24CAN CN 午餐肉, Chicken Leg B/L S/O 200gmUp (Seara) 2kgx6pktBR鸡去骨腿, VANNAMEI PRAWN PND 31/40 1KGX10PKT 虾肉, Pork Collar (Frimesa) 20kg BR 梅肉, PORK LUNCHEON MEAT PREMIUM (MALING) 397GMX24CAN SG, CHICKEN LEG B/L S/O 200GM UP (SADIA) 2KGX6PKT BR, Pork Collar (Sulina) 12kg BR 梅肉",7
Chew egg,CHEW'S FRESH BROWN EGGS (600G) 10S,"CHEW'S FRESH BROWN EGGS (B), CHEW'S FRESH BROWN EGGS (600G) 10S",2
Yam,YAM 芋头,"(ES.S) EGYPTIAN STAR SAKURA (10G/PUN), GRAPEFRUIT PINK 葡萄柚 (250G-350G/PCS), LIME SEEDLESS 无子青柠檬, LIME SMALL / CALAMANSI 酸柑 / 柑仔, YAM THAI 泰国芋头, YAM 芋头",6
Spare rib,PORK SPARE RIB (FRIMESA) -20KG BR,"F/T Pork Spare Ribs 褪冰排骨, Spare Rib 排骨, Pork Liver 猪肝(散), Hind Hock Burn Split Half 猪脚烧毛开边, PORK FAT CUBE 2CM BAG(7PKTx2KG), Pork Loin Tendon 肉头根, Pork Sweet Intestine 猪粉肠(散), PORK SPARE RIB (FRIMESA) -20KG BR",8
生菜饼,FRESH FISH CAKE (VEG),"SEAFOOD RING ROLL, FRESH FISH CAKE (VEG), TAU KEE PUFF, FROZEN CHICKEN BONE 5KG, TEOCHEW FISH CAKE (20PCS), CHICKEN DUMPLING, COOKED FISH BALL",7
Russel potatoes,POTATO USA / IDAHO / RUSSET 美国土豆 / 美国马铃薯,"ONION SPANISH RED 澳洲红葱, CHICORY RED  红菊苣, BRUSSEL SPROUT 芽甘蓝 / 小洋包菜, AUSTRALIA CURLY KALE 羽衣甘兰, POTATO USA / IDAHO / RUSSET 美国土豆 / 美国马铃薯, CHIVES  细香葱 / 西洋细韭菜 (50G/PKT), MUSHROOM PORTOBELLO 波多贝罗蘑菇, STORY FRESH - MESCLUN SALAD 澳洲萨拉 (500G/PKT), BABY ROMAINE LETTUCE / LITTLE GEM / BABY COS LETTUCE 小罗曼",9
多利鱼,CREAM DORY FILLET 220-300GM 6KG (2) VN  多利魚,"CREAM DORY FILLET 400-600GM (S) 6KG VN 多利魚, CHICKEN LEG B/L S/O 200GM UP (AVIVAR) 2KGX6PKT BR, CREAM DORY FILLET 400-600GM (DOUBLE FISH) 6KG VN, Chicken Leg B/L S/O 200gmUp (Seara) 2kgx6pktBR鸡去骨腿, CREAM DORY FILLET 220-300GM 6KG (2) VN  多利魚, Chicken Leg B/L S/O 200gm Up(Aurora)2kgx6pkt BR, CHICKEN LEG B/L S/O 200GM UP (SADIA) 2KGX6PKT BR, PANGASIUS SUTCHI FILLET 400-600GM (JJ) 6KG VN 多利魚",8
Yam,YAM 芋头,"YAM 芋头, LIME SEEDLESS 无子青柠檬, LIME SMALL / CALAMANSI 酸柑 / 柑仔, GRAPEFRUIT PINK 葡萄柚 (250G-350G/PCS)",4
eggs,CHEW'S FRESH BROWN EGGS (A),CHEW'S FRESH BROWN EGGS (A),1
粉肠1箱,Pork Intestine (Sweet Runner) (D/Valley) AU 猪粉肠,"Pork Intestine (Sweet Runner) (D/Valley) AU 猪粉肠, Pork Spare Rib (Frimesa)  20kg BR 猪肋排, JK Pork Spare Rib Cut 2"" (Bag) 10kg SG, PORK INTESTINE (SWEET RUNNER) (SEVEN POINT) AU 猪粉肠, Pork Tail (Tonnies) 10kg DE 猪尾, JK PORK LIVER SLICED 4MM 3KG/PKT SG 猪肝片",6
虾饼 60,PRAWN CRACKER (虾饼),"Dou Zhi (豆支卷), (S) Ma Ti Dan (马蹄蛋)-小, Liver Roll (猪肝卷), Fried Beancurd Roll (炸豆支卷), CHINESE SAUSAGE (灌肠), Chef's Prawn Roll (厨师虾卷), PRAWN CRACKER (虾饼), Sliced Ginger (姜片)",8
清江鱼3箱,"SUTCHI - BUTTERFLY CUT 700-900, 10KGS","WHITE SUTCHI FILLET 230/300 - 10KG, COOKED TIGER PRAWN 30/40, 10KG - PJ, BOILED SCALLOP MEAT 100-120, (500G X 20PKT) - PO, SUTCHI - BUTTERFLY CUT 700-900, 10KGS, W.R. BABY OCTOPUS 20/40ï¼Œ å…«çˆªé±¼ - 12KG/CTN",8
Nuggets,N1 CHICKEN NUGGET (10PKT),"N1 CHICKEN NUGGET (10PKT), A11 POP CORN CHICKEN 1KG, TEMPURA CHICKEN NUGGET",3
onions,ONION PEELED 去皮大洋葱,"MUSHROOM SHITAKE 花菇, ONION PEELED 去皮大洋葱",2
egg/bundle,EGGS JAPAN 日本鸡蛋 (90 EGGS/BUNDLE) WITH EXPI,EGGS JAPAN 日本鸡蛋 (90 EGGS/BUNDLE) WITH EXPI,1
Seaweed chicken,(33) CRISPY CHICKEN SEAWEED 1KG,"BATTERED ONION RING (10PKT), A01 SPICY WINGSTICK, (33) CRISPY CHICKEN SEAWEED 1KG, YAKITORI WITH SAUCE, ROASTED WINGSTICK 1KG, ROASTED MID JT WING, (99) S/L CHIX BREAST FILLET 1.15KG, FS01 FRIED 2 JOINT WING",8
shitake mushroom slice,SLICED /  MUSHROOM SHITAKE 切片花菇,"(TND) MICROGREEN - AFFILA / PEA SHOOT / TENDRIL CRESS MG, CARROTS 红萝卜, SLICED /  MUSHROOM SHITAKE 切片花菇, SLICED MUSHROOM BUTTON 切片白蘑菇, RADISH RED BABY 小红圆萝卜 (125G/PKT), CELERY IMPORTED 西芹菜",6
Super Crispy Chicken (1kg) ,(22) SUPER CRISPY CHICKEN 1KG,"BAKED CHICKEN BITES, (22) SUPER CRISPY CHICKEN 1KG, (5) CRISPY CHIX W BEANCURD 400G, DUROYAL EGG NOODLES (6PKT), DUROYAL SMALL B/FLY NOODLE (6PKT)",5
Gyoza original,CHICKEN GYOZA ORIGINAL 1KG X 10PKT ,CHICKEN GYOZA ORIGINAL 1KG X 10PKT ,1
Lemon,LEMON YELLOW 黄柠檬 (150G-200G/NOS),"ORANGE VALENCIA 水橙子 (120G-200G/NOS), LEMON YELLOW 黄柠檬 (150G-200G/NOS), BANANA SEMI RIPE 香蕉",3
无蛋美乃滋,(2-70) 大罐 美乃滋酱 3L- VEGAN MAYONAISE (4 PC),"(1A24A)(味根香) 素大板鱼500G VGN OSAKA FISH (32 PC), (1A-24B) - (900G) 味根香 小 明虾 - SMALL PRAWN (20 PC), (1B-51A ) 炸腐竹 550G VGN FRIED YUBA (30PCS) (20 PC), (1A25A) - (黑) 腌鸭 切片 素世界-900G SMOKED DUCK DICE (10 PC), (65B)梅膏 5L - PLUM SAUCE, (2B-71) -香春酱300G - VEGAN CEDAR TOON SAUCE (80 PC), (2-70) 大罐 美乃滋酱 3L- VEGAN MAYONAISE (4 PC)",7
LAMB RACK FRENCHED CAP ON,LAMB RACK FRENCHED CAP ON,"LAMB RACK FRENCHED CAP ON, AU Beef GS Tenderloin SS/On (TEYS)",2
Hash brown,(2B) - *三角形*署片2KG - TRIANGLE TATERS PATTI (6 PC),"素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (2A)(青)素干鹅400G VGN CRISPY SOYA (GREEN)********** (70 PC), (1A-23A) - 经济香鱼片- 900G VEG ECONOMICAL FISH SLICE (20 PC), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), (2B) - *三角形*署片2KG - TRIANGLE TATERS PATTI (6 PC), (2A)素大春卷600G SPRING ROLL (BIG)**** *** ****** (15 PC), 新春送礼 2025 CNY GIFTS, (2A-31) - 玉署署Yu Su Su Corn **************, (1A-3A) 素香味鸡丁900G VGN CRISPY CHICKEN DICED (20 PC)",9
小鱼香,FISH FINGER,"SLICED FISH CAKE, FISH PASTE, FISH FINGER, TEOCHEW FISH MEAT BALL, (L)FRESH FISH BALL (50), Y.T.F - FISH MEAT",6
Chicken Breast SBB,(99) S/L CHIX BREAST FILLET 1.15KG,"(99) S/L CHIX BREAST FILLET 1.15KG, A01 SPICY WINGSTICK, N1 CHICKEN NUGGET (10PKT), A05 COOKED 2 JOINT WING",4
cooked tiger praw,"COOKED TIGER PRAWN 41/50, 10KG - PJ","COOK NYLON SHELL-SEAFOOD 400GM/25PKRT, TIGER SEA SNAIL èŠ±èžº (SIPUT MACAN), COOKED TIGER PRAWN 41/50, 10KG - PJ, FROZEN BLANCHED CRAWFISH TAIL (ORIGINAL) 500Gx12PKTS",5
家传五香条,GH-FIVE SPICE MEAT ROLL (家传五香卷),"Fried Beancurd Roll (炸豆支卷), Golden Fish Roe Roll (黄金鱼子卷), YAM  ROLL (芋酥), Lychee Shrimp Ball荔枝虾丸(10pc/Pkt), Teochew Prawn Roll (潮州虾枣) 40G, Fish Ball (鱼丸), GH-FIVE SPICE MEAT ROLL (家传五香卷), PRAWN CRACKER (虾饼)",8
Frozen pork loin,PORK LOIN B/L (FRIMESA) -25KG BR,"PORK BELLY A R/ON SIN/R SB/I 20x50(BOSELER)VAC DE, PORK LOIN B/L (FRIMESA) -25KG BR",2
FRIMESA BACKRIBS,PORK LOIN BACK RIB (FRIMESA) -10KG BR,"PORK BONE HP SB(TAIHODIEN)RT(10PKTx800G)TW大骨煲汤太和殿, PORK BELLY SUKIYAKI (YUMME) TP(20PKTx300G), THAI TOM YUM GOONG(HAIDILAO)RT(10PKTx800G)TW泰式冬阴功, PORK & CHI DUMPLING 韭菜猪肉水饺 (20PKTx500G)(X), CHI SAUERKR HP SB(NINGCHI)RT(10PKTx800G)TW宁记酸菜锅, PORK SHANGHAI STEAMED BUN (20PKTx500G)(X), PORK LOIN BACK RIB (FRIMESA) -10KG BR, PORK COLLAR SHABU (YUMME) TP(20PKTx300G), PORK & CAB DUMPLING 白菜猪肉水饺 (20PKTx500G)(X)",9
half shell mussel,"1/2 SHELL MUSSEL, 907g (1CTN/12BOX)- PO","1/2 SHELL MUSSEL, 907g (1CTN/12BOX)- PO, JAPAN MUROTSU OYSTER WHOLE - M, 144pcs/12doz/ctn, FISH PASTE 2KG/PKT, VANNAMEI SHRIMP HOSO 26/30(10KGS) - PJ",6
doni fish,Dory Fillet/Double Fish 400-600gm (MH) 7kg VN( 双鱼),"Cream Dory Fillet 400-600gm 6kg (2) VN  多利魚, Pork Spare Rib (Sulina) 18kg BR 猪肋排, AURORA PORK SPARE RIBLET 25KG/CTN 猪肋排, Pork Belly Sheet Ribbed S/O (Aurora) 25kg BR 削骨三层肉, Dory Fillet/Double Fish 400-600gm (MH) 7kg VN( 双鱼), JK Pork Minced Thin (Bag) 2kgx6pkt SG 细猪肉碎, PORK SPARE RIB (AURORA) 25KG BR 猪肋排, Pork Collar (Aurora) 10kg BR 梅肉, Pork Rectum Head (Frimesa) 16kg BR 熟猪大肠头",9
Iberico Spanish meaty spare rib,IBERICO PORK SPARE RIB (ICP) ES 西班牙大肋排,"VANNAMEI PRAWN PND 61/70 1KGX10PKT虾肉, IBERICO PORK SPARE RIB (ICP) ES 西班牙大肋排, Iberico Pork Spare Rib (Friselva) ES 西班牙大肋排",3
红素干鹅 Veg Goose Skin Dry (Red),(1A28A)(红) 素干鹅350G VEG GOOSE SKIN DRY (RED) (80 PC),"素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (1A28A)(红) 素干鹅350G VEG GOOSE SKIN DRY (RED) (80 PC), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC)",3
shredded lettuce,LETTUCE CUT ICEBERG SHREDDED 西生菜丝,"SLICED TOMATOES , DIPOSABLE CONTAINER 切片, 红番茄, STORY FRESH - ROCKET SALAD 澳洲芝麻叶 (500G/PKT), ITALIAN ROCKET ARUGULA SALAD 火箭生菜 (125G/PKT), LETTUCE CUT ICEBERG SHREDDED 西生菜丝, CUCUMBER 黄瓜, CABBAGE ROUND JULIENNED / SHREDDED 包菜丝, STORY FRESH - BABY SPINACH 澳洲波菜苗 (500G/PKT)",9
Crispy thigh,FS05 FRIED CRISPY THIGH,"FS05 FRIED CRISPY THIGH, FS04 GOLDEN CRISPY WING, FS07 FRIED CRISPY DRUM",3
chicken,Chicken Leg B/L S/O 200gm Up(Aurora)2kgx6pkt BR,"CHICKEN LEG B/L S/O 200GM UP (AVIVAR) 2KGX6PKT BR, Chicken Leg B/L S/O 200gmUp (Seara) 2kgx6pktBR鸡去骨腿, CHICKEN LEG B/L S/O 200GM UP (COPACOL) 2KGX6PKT BR, Chicken Leg B/L S/O 200gm Up(Aurora)2kgx6pkt BR, CHICKEN LEG B/L S/O 200GM UP (SADIA) 2KGX6PKT BR",5
熟虾,"COOKED TIGER PRAWN 30/40, 10KG - PJ","COOKED TIGER PRAWN 30/40, 10KG - PJ, FLOWER YELLOW CLAM 30/40 (500GM X 20P/CTN) - PO, SUTCHI - BUTTERFLY CUT 700-900, 10KGS, FRESH TOMAN FILLET CL, FROZEN BLANCHED CRAWFISH TAIL (ORIGINAL) 500Gx12PKTS",7
tiger hoso 26/30,BLACK TIGER HOSO 26/30 (1OKGS) - PJ,BLACK TIGER HOSO 26/30 (1OKGS) - PJ,1
大板鱼,(1A24A)(味根香) 素大板鱼500G VGN OSAKA FISH (32 PC),"素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (1A24A)(味根香) 素大板鱼500G VGN OSAKA FISH (32 PC), (1-90)素世界-鱼丸 - 500G VGN FISH BALL (18 PC), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), 日历 CALENDAR ***********, (4-61) (大粒) 鱼饼 [ 天然 ] -500G FISHCAKE (20 PC), 新春送礼 2025 CNY GIFTS, (9B-59/60)天下第一鱼-260G WP - VGN NO. 1 HOUSE FISH (16 PC)",8
FH01-0440VN FISH DORY STEAK (TWINFISH) VN,FISH DORY STEAK (TWINFISH)(5PKT X 2KG) VN,"FISH BATANG STEAK GRADE A (OKEANOSS) ID -10KG, VANNAMEI PDTO IQF 51/60 (10PKTx1KG), FISH DORY STEAK (TWINFISH)(5PKT X 2KG) VN",3
Eggs,CHEW'S FRESH BROWN EGGS (C),CHEW'S FRESH BROWN EGGS (C),1
豆付片,CUTTLEFISH TOFU,"HANDMADE SMALL FISH CAKE, CUTTLEFISH TOFU, TAU KEE PUFF, TEOCHEW FISH CAKE (20PCS), CHEESE TOFU 1 KG, SITO-FISH CAKE",6
Fish sliced d,(1A-23A) - 经济香鱼片- 900G VEG ECONOMICAL FISH SLICE (20 PC),"素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (2A)(青)素干鹅400G VGN CRISPY SOYA (GREEN)********** (70 PC), (1A-23A) - 经济香鱼片- 900G VEG ECONOMICAL FISH SLICE (20 PC), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), (2B) - *三角形*署片2KG - TRIANGLE TATERS PATTI (6 PC), (2A)素大春卷600G SPRING ROLL (BIG)**** *** ****** (15 PC), 新春送礼 2025 CNY GIFTS, (2A-31) - 玉署署Yu Su Su Corn **************, (1A-3A) 素香味鸡丁900G VGN CRISPY CHICKEN DICED (20 PC)",9
Baby radish,RADISH RED BABY 小红圆萝卜 (125G/PKT),"(TND) MICROGREEN - AFFILA / PEA SHOOT / TENDRIL CRESS MG, CARROTS 红萝卜, SLICED /  MUSHROOM SHITAKE 切片花菇, SLICED MUSHROOM BUTTON 切片白蘑菇, RADISH RED BABY 小红圆萝卜 (125G/PKT), CELERY IMPORTED 西芹菜",6
