input,match,product_guide,product_guide_count
拉拉,FLOWER YELLOW CLAM 30/40 (500GM X 20P/CTN) - PO,"SUTCHI FILLET 230/300GM, SQUARE (6 KGS) 84, SOTONG PASTE - MGG (1KG X 15PKT) - PVA0021, OYSTER MEAT (M), 1KG X 10PKTS, PAN ROYAL, FRESH SQUID 10up (BIG FIN é’ç›®), FLOWER YELLOW CLAM 30/40 (500GM X 20P/CTN) - PO, 16/20 PND VANNAMEI SHRIMP (1KG X 10PKTS) - PO, BLACK TIGER HOSO 10/12 (1KG X 10BOXES) - PJ, SCAMPI PRAWN 130/150 (1KG X 10 PKTS) - GPOS, 41/50 PTO VANNAMEI SHRIMP (1KG X 10PKTS) - PO, 100/200 PND VANNAMEI SHRIMP (10X1KG) - PO, CHICKEN BONELESS LEG (6 X 2) 12KG - LHPOD, CRAB BITES 1KG X 10P (FOR PON) - EPOH, 26/30 PTO VANNAMEI SHRIMP (1KG X 10PKT) - PO, HC PRAWN HEAD - 12KGS",17
五香鸭,(1B-52) -(更) 五香素鸭 - EB VEG SPICED DUCK 250G (12 PC),"(1-90)素世界-鱼饼切 WP-500G VEG FISHCAKE SLICE (18 PC), (新) 素龙虾球 900G VEGAN LOBSTER BALL (20 PC), (1B52A)素脆玉片(素猪肉豆腐) 1KG WP VEG GOLDEN FILLET (12 PC), 1A-21A (经济) 素 长丝片900G VEG ECON. PORK MEAT SLICED (20 PC), (90)[干粮] 素世界菠萝菇粉(香菇蔬菜)500G MUSHROOM SEASONING (12 PC), (1A7A)(味齐)素烧腊叉烧(大豆叉烧) VGN SOYA CHAR SIEW 1KG (12 PC), 素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (1A24A)(味根香) 素大板鱼500G VGN OSAKA FISH (32 PC), (1A25A)素世界 素 叉烧切900G VGN BBQ GLUTEN SLICED VWF (10 PC), (1B-44A) -竹香卷-300G EVERBEST YUBA MAKI ROLL (15 PC), (2A1)素世界 皇金脆片(黄干鹅切)380G VGN VWF SLICED CRISPY SO (35 PC), (1A14) 素五香大鸡腿 780G VGN DRUMSTICK (BIG) (30 PC), (2A-51) 紫菜卷 -380G SEAWEED ROLL TUNG (20 PC), (1A-23A) - 味根香(五条) 紫菜小鱼-900G VGN FISH ROLL FISH (20 PC), (2-80)[包装]麻辣火锅调味料 200G SPICY MALA HOTPOT BASE (24 PC), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), (2A) (大) 素咖哩卜800G VGN CURRY PUFF BIG ******** (20 PC), [[1B-32]] [[红色]] 300G 田园 素香脆G扒 VEG STEAK (CHICK (60 PC), (2A)素大春卷600G SPRING ROLL (BIG)**** *** ****** (15 PC), (1B-52) -卤肉500G YAM ROLL TKC - 10PCS (50 PC), (3-59A)素鱼露 (素鲜味露)-380G VEGE FISH SAUCE (24 PC), (1B-52) -(更) 五香素鸭 - EB VEG SPICED DUCK 250G (12 PC), (1B-31B)- 斋鹅 (喜) 700G ZHAI ER ZENGXI (42 PC), (1A25A) - (黑) 腌鸭 切片 素世界-900G SMOKED DUCK DICE (10 PC), (3KG)素班节虾-Vegan Small Tiger Prawn (4 PC), (1B-51)午餐肉-800G VGN LUNCHEON MEAT (24PCS) (30 PC), 新春送礼 2025 CNY GIFTS",27
Portobello mushroom,MUSHROOM PORTOBELLO 波多贝罗蘑菇,"ONION SPANISH RED 澳洲红葱, DILL 茴香 / 莳萝 (50G/PKT), THYME 白里香 (50G/PKT), SPRING ONION 青葱, SAHARA - GREEK YOGHURT (2KG/TUB), AUSTRALIA CURLY KALE 羽衣甘兰, LETTUCE CORAL GREEN / LOLLO BIANDO 青珊瑚生菜, TAU KUA XL 豆干 (2PCS X 200G), BABY CORN ON HUSK 小玉米, CHILLI PADRON 墨西哥波布拉诺辣椒 (KG), GARLIC PEELED 去皮蒜头 / 蒜肉 (700G/PKT), CORIANDER 香菜 / 芫荽 (300G-350G/BUN), CHIVES  细香葱 / 西洋细韭菜 (50G/PKT), LEMON YELLOW 黄柠檬 (150G-200G/NOS), LETTUCE ROMAINE / COS LETTUCE 罗曼生菜, CHERVIL 细叶芹 (30G/PKT), ENDIVE RED BELGIUM 红苦菊, KING OYSTER / ERINGYI MUSHROOM 杏鲍菇 (200G/PKT), AVOCADO AUSTRALIA /  澳洲鳄梨 (150G-200G/NOS), ONION SHALLOT PEELED 去皮红葱仔, CHILLI GREEN 青辣椒 (250G/PKT), SPEARMINT 薄荷叶 (50G/PKT), (CRD) GHOA / CORIANDER CRESS MG, RADISH RED BABY 小红圆萝卜 (125G/PKT), MUSHROOM OYSTER 平菇 (150G/PKT), ITALIAN FLAT PARSLEY 意大利香菜 / 意大利芫荽 (50G/PKT), BASIL 罗勒 / 九辰塔 (50G/PKT), FRENCH BEAN 四季豆, YAM THAI 泰国芋头, YELLOW FRISEE 黄皱叶菊苣, POTATO USA / IDAHO / RUSSET 美国土豆 / 美国马铃薯, MUSHROOM PORTOBELLO 波多贝罗蘑菇, CABBAGE ROUND 包菜",33
Red vein sorrel cress,(RVS) RED VEIN SORREL CRESS MG,"(RVS) RED VEIN SORREL CRESS MG, (SS.G) SHISO GREEN CRESS MG, (DKN.R) DAIKON RED CRESS MG, (AMR) AMARANTH RED CRESS MG, CORIANDER 香菜 / 芫荽 (300G-350G/BUN), SCARLET RED AMARANTH (KPC-AMR), KOPPERT CRESS - GHOA / CORIANDER CRESS (25G/PUN), (SS.P) SHISO PURPLE CRESS MG, (ES.M) EGYPTIAN STAR MIXED (10G/PUN), (CRD) GHOA / CORIANDER CRESS MG, KOPPERT CRESS - MUSTARD GREEN CRESS (25G/PUN), EDIBLE FLOWER - VIOLA (10G/PUN), (MT.G) MUSTARD GREEN CRESS MG, ROSEMARY 迷迭香 (50G/PKT)",14
Chicken popcorn,POPCORN CHICKEN (FREEZEPAK) 1KGX10PKT TH 辣味鸡米花,"Cream Dory Steak 100-200gm (H) 10kg VN 大只日本峇丹, Chicken Karaage (Premier First) 1kgx10pkt TH 日式炸鸡块, Chicken Fried Karaage (Saha Farms) 1kgx10pktTH脆香鸡块, Beef Short Rib, Lamb Flaps (Alliance) 24kg NZ 羊肚皮, Chicken Fried Thigh Spicy (New Multi) 800gmx10pkt, Mutton Leg B/L (Fletcher) AU 去骨羊腿, CHK FLAMIN NUGGET (FREEZEPAK) 800GMX10PKT TH 辣味麦金鸡, JK Beef Short Rib Cut 2'' (Bag) SG 牛小排切, SPICY CHICKEN STEAK (FREEZEPAK) 1KGX9PKT TH 辣鸡饼, Beef Ball (Armiya) 500gmx20pkt MY 牛肉丸, Cream Dory Steak (E) 10kg VN 日本峇丹, Beef Oxtail ()牛尾, MUTTON LEG B/L (THOMAS) AU 去骨羊腿, Crispy Chicken Nugget (Freezepak) 1kgx9pkt TH泰国麦鸡块, JK Ox Tail Cut 1.5'' (Bag) SG 牛尾切, POPCORN CHICKEN (FREEZEPAK) 1KGX10PKT TH 辣味鸡米花",17
Fennel,FENNEL 茴香,"CARROTS 红萝卜, ONION SHALLOT WHOLE 红葱仔, DILL 茴香 / 莳萝 (50G/PKT), EGGS JAPAN 日本鸡蛋 (90 EGGS/BUNDLE) WITH EXPI, FRENCH SHALLOT BANANA 法国洋葱, ROSEMARY 迷迭香 (50G/PKT), CELERY IMPORTED 西芹菜, BROCCOLINI 西兰花苗, GARLIC PEELED 去皮蒜头 / 蒜肉 (700G/PKT), ARTICHOKE JERUSALEM 菊芋 (5KG/CTN), PEA SWEET / ENGLISH PEA / GARDEN PEA 甜豆 (130G/PKT), STRAWBERRY 草莓 (250G/PUN), ZUCCHINI GREEN 青夏南瓜, OREGANO 牛至叶 (50G/PKT), ONION LARGE BROWN 大洋葱, ARTICHOKE JERUSALEM / SUNCHOKE 菊芋, ONION SHALLOT PEELED 去皮红葱仔, SPEARMINT 薄荷叶 (50G/PKT), FENNEL 茴香, ITALIAN FLAT PARSLEY 意大利香菜 / 意大利芫荽 (50G/PKT), BASIL 罗勒 / 九辰塔 (50G/PKT), KANG KONG 空心菜 / 雍菜, POTATO USA / IDAHO / RUSSET 美国土豆 / 美国马铃薯, MUSHROOM PORTOBELLO 波多贝罗蘑菇, TOMATO ROMA / PLUM 罗马蕃茄 (KG)",25
虾角,CHICKEN DUMPLING,"SEAFOOD RING ROLL, CUTTLEFISH TOFU, HANDMADE SMALL FISH CAKE, CHICKEN WANTON, TAU KEE PUFF, SEAFOOD WANTON, CUTTLEFISH NUGGET, FISH FINGER, TEOCHEW FISH MEAT BALL, (L)FRESH FISH BALL (50), CHICKEN DUMPLING, CUTTLEFISH BALL (250GM X 12PACK)",12
Blue ginger,BLUE GINGER 南姜,"ROUND CABBAGE 包菜, LARGE ONION 大洋葱, SMALL LIME 小酸柑, GREEN CHILLI PADI 青小辣椒, HOR FUN 河粉, BASIL LEAF SWEET 金不换 甜, LEMON GRASS / SERAI 葱毛, CUCUMBER 青瓜, RED CARROT 红萝卜, YELLOW GINGER 黄姜, BABY KAILAN 芥兰仔, GREEN MANGO 青芒果, MEDIUM TOMATO 中番茄, SPRING ONION  青葱, CHIVE 韭菜, KANG KONG 翁菜, BASIL LEAF HOT 金不换 辣, BEAN SPROUT 豆芽, PEELED GARLIC 蒜肉, EGGPLANT 茄子, PINEAPPLE 黄梨, BOMBAY ONION 红大葱, BROWN SHIMEIJI MUSHROOM 松菇 / 蟹味菇, RED CHILLI 红辣椒, RED CHILLI PADI 小红辣椒, CORIANDER / CHINESE PARSLEY 芫茜, BLUE GINGER 南姜, GREEN LIME 青柠檬, GOLDEN TAU KWA 小豆干, LONG BEAN 菜豆, LIME LEAF 大柑叶",31
E炸豆,Fried Beancurd Roll (炸豆支卷),"Cheese Tofu (芝士豆腐), (S) Ma Ti Dan (马蹄蛋)-小, Fried Beancurd Roll (炸豆支卷), Wanton S, Golden Fish Roe Roll (黄金鱼子卷), Special Grade Chilli sauce 30G (特级辣椒酱), BEAN SPROUT CAKE (豆芽饼), Cucumber黄瓜, PRAWN CRACKER (虾饼), 大菜果Veg Fish Cake, Jian Yu Bing (尖鱼饼), Otah Cheese Ball 芝士乌达丸, Sliced Ginger (姜片), Vegetables Cake菜饼, Sweet Sauce (卤酱), SPECIAL GRADE CHILLI SAUCE 3KG (特级辣椒酱), Seaweed Chicken (紫菜鸡), Dou Gan (S)(豆干-小), Gan Er (干鹅), FISH FILLET (鱼排), Cooked Cuttlefish (目斗), Sweet Sauce卤酱(30g), Century Egg  (皮蛋), Spring Roll (薄饼), YAM  ROLL (芋酥), Small Liver Roll (小猪肝卷), Premium Ngoh Hiang Roll (特级五香卷), SMALL OIL小桶油, SOTONG YOU TIAO (苏东油条), Golden Prawn Pancake黄金虾饼, Oyster Cake (蚝饼), CHINESE SAUSAGE (灌肠), Fish Ball (鱼丸), QQ Pork sausage (台湾香肠－猪)",34
豆卜,MEDIUM BEAN POK,"SEAFOOD RING ROLL, FRIED BEANCURD SHEET, FISH PASTE, EGG TOFU, KOREAN FISH CAKE, CHICKEN BEANCURD, TAU KEE PUFF, CUTTLEFISH WANTON, CHICKEN BIG NGOH HIANG, SEAWEED CHICKEN 紫菜鸡 1KG, SAMBAL CHILLI, BEANCURD ROLL, FULLY COOKED FRIED CHICKEN CRISPY KATSUDON, CHEESE TOFU 1 KG, DRIED RICE VERMICELLI (3 KG), MEDIUM BEAN POK",16
Fingerling potato,POTATO KIPFLER / FINGERLING 土豆鱼苗,"KOPPERT CRESS - GHOA / CORIANDER CRESS (25G/PUN), (H.NAS) HARVESTED NASTURTIUM LEAVES (40PCS/PUN), (H.OXL) HARVESTED RED OXALIS 10G, FRESH FINGERLIMES - GREEN PEARL (125G/PUN), (SS.P) SHISO PURPLE CRESS MG, (ES.M) EGYPTIAN STAR MIXED (10G/PUN), EDIBLE FLOWER - ASSORTED 食用花 (10G/PUN), DUTCH GEM LETTUCE 10X6PC 小奶油生菜, ITALIAN LETTUCE MIZUNA GREEN 125G 青水菜, (RVS) RED VEIN SORREL CRESS MG, CHILLI JALAPENO GREEN青墨西哥哈拉贝纽辣椒, (TND) MICROGREEN - AFFILA / PEA SHOOT / TENDRIL CRESS MG, (MT.S) MUSTARD SCARLET / KYONA CRESS MG, (BSL.G) BASIL GREEN CRESS MG, ARTICHOKE JERUSALEM / SUNCHOKE 菊芋, (CRD) GHOA / CORIANDER CRESS MG, KOPPERT CRESS - VENE / RED VEIN SORREL CRESS (25G/PUN), (BSL) KOPPERTCRESS - BASIL CRESS, POTATO KIPFLER / FINGERLING 土豆鱼苗, KOPPERT CRESS - AFFILLA / TENDRIL CRESS (25G/PUN)",20
Rosemary,ROSEMARY 迷迭香 (50G/PKT),"ORANGE VALENCIA 水橙子 (120G-200G/NOS), CARROTS 红萝卜, ITALIAN FLAT PARSLEY 意大利香菜 / 意大利芫荽 (50G/PKT), ROSEMARY 迷迭香 (50G/PKT), PEAR PACKHAM GREEN 青皮梨盒装 (150G-200G/NOS), GRAPEFRUIT PINK 葡萄柚 (250G-350G/PCS), SAGE 鼠尾草 (50G/PKT), CAPSICUM PEPPER RED 红灯笼椒 / 红大辣椒, CUCUMBER JAPANESE 日本黄瓜 (KG), CORIANDER 香菜 / 芫荽 (300G-350G/BUN), PINEAPPLE HONEY 水晶黄梨 (700G-800G/NOS), EGGS JAPAN 日本鸡蛋 (90 EGGS/BUNDLE) WITH EXPI, FENNEL 茴香, LIME SEEDLESS 无子青柠檬, STRAWBERRY 草莓 (250G/PUN), LEMON YELLOW 黄柠檬 (150G-200G/NOS), MARJORAM 马郁兰 / 墨角兰 (50G/PKT), CELERY IMPORTED 西芹菜",18
黄金条 (900g),(新) 黄金条-VEGAN GOLDEN TOFU 900G (20 PC),"日式天妇罗 600G PLANT BASED TEMPURA SHRIMP ROLL, (1A11A) -香菇牛蒡卷 1KG WP - NIUBANG MUSHROOM ROLL 12KG/CT (12 PC), OOS(9B79) - 500G 香菇牛蒡卷 NIU BANG MUSHROOM ROLL 500G (20 PC), (1B-32B) - (八片) 燕麦鳕鱼-1350G OATS CODFISH (8PCS) (24 PC), (1B-32B) -(佛心)炸香鸡 (素炸鸡)-900G VEG FRIED CHICKEN FOXIN (20 PC), OOS(盒)纯素荷包蛋 -VEGAN PLANTEGG (1盒/6包/12PCS), (2B57) 腊肠 WP 1KG TAIWAN SAUSAGE 12KG/CTN (12 PC), 素芋泥角（苏东）-VEGETARIAN TARO SAMOSA, (1A-20A) 素火腿粒 900G VGN CUISSE HAM CUBE VWF (20 PC), 素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (1A-11B) (大) 素黑胡椒扒900G VGN BLACK PEPPER STEAK (BIG) (20 PC), OOS(2A) 原味薯角 VEG. POTATO WEDGES 700G, OOS(1B23B) 素红烧鸭 1KG VGN STEWED RED DUCK (20 PC), (2B-63) 齐善炖羊肉 1KG- VGN MUTTON CHUCK WP (12 PC), (1A22A) 素世界 素鸡丁900G VGN CHICKEN DICED VWF (20 PC), 咸鱼翻身 VEG SALTED FISH 130G, (3-60) 小罐 鲍鱼浓汁 490GWP - VEG ABALONE SAUCE (12 PC), (2A29)苏东 素香G丁900G VEG AYAM CRISPY CHICKEN (SU-TUNG) (12 PC), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), (2A-41)荷叶饭(10PCS)- LOTUS LEAF RICE 300G, 素世界海鲜豆腐-VWF Seafood Tofu 1KG, (2B) - (鸿)炸面筋 - 500G FRIED GLUTEN (20 PC), (2B) 素腐皮卷 WP VGN BEANCURD ROLL 36PCS/KG (12 PC), (新) 黄金条-VEGAN GOLDEN TOFU 900G (20 PC), (9B-62)素龙利鱼280G VGN FLOUNDER FISH 280G (16 PC), (9B-59/60)天下第一鱼-260G WP - VGN NO. 1 HOUSE FISH (16 PC), (72) 斋汤 - MAGGI VEG STOCK 1.2KG (6 PC), OOS(包) 纯素荷包蛋-VEGAN PLANTEGG (1包2粒) (70 PC), (1B32A)(佛心)素港式叉烧 900G VGN HK CHAR SIEW (20 PC), OOS (2B-82) -滋滋排骨 1KG WP - ZI ZI SPARERIB (12 PC), (9B-30) 500G 腊肠 WP - TAIWAN SAUSAGE 20PKT/CTN (20 PC), (1B43B)素东坡肉 300G WP VGN DONG PO MEAT (20 PC), 1A-10A素叉烧粒 900G VGN VEGETARIAN CHAR SIEW DICED (24 PC), 素大善腊肠 (2条装)160G VGN DA-SHAN SMOKED SAUSAGE (30 PC), 1B-39B 素保健火腿1KG WP VGN NUTRIENT ROLL (8 PC)",35
radish green,RADISH GREEN MEAT 青萝卜,"CARROTS 红萝卜, EGGS JAPAN 日本鸡蛋 (90 EGGS/BUNDLE) WITH EXPI, SPRING ONION 青葱, LETTUCE CORAL GREEN / LOLLO BIANDO 青珊瑚生菜, RADISH WHITE / DAIKON 大白萝卜 / 大根, KOPPERT CRESS - SHISO PURPLE CRESS (25G/PUN), BROCCOLI CHINA 中国西兰花, GARLIC PEELED 去皮蒜头 / 蒜肉 (700G/PKT), HERB - RED OXALIS IN POT  HB_OXR, TOMATO CHERRY RED 小蕃茄, (H.OXL) HARVESTED RED OXALIS 10G, (SS.P) SHISO PURPLE CRESS MG, GINGER YOUNG 幼姜 / 子姜, POTATO LOCAL 土豆 / 马铃薯, EDIBLE FLOWER - ASSORTED 食用花 (10G/PUN), EGGS 鸡蛋 (30 PCS/TRAY), LEMON YELLOW 黄柠檬 (150G-200G/NOS), ENGLISH PARSLEY 西香菜 / 西芫荽 (300G/BUN), (RVS) RED VEIN SORREL CRESS MG, (SS.G) SHISO GREEN CRESS MG, (TND) MICROGREEN - AFFILA / PEA SHOOT / TENDRIL CRESS MG, ONION LARGE BROWN 大洋葱, AVOCADO AUSTRALIA /  澳洲鳄梨 (150G-200G/NOS), CHILLI SHISHITO 日式甜椒, KOPPERT CRESS - VENE / RED VEIN SORREL CRESS (25G/PUN), LEEK JAPANESE / SHIRONEGI / BEI CHONG 北葱 / 日本葱, TOFU RED SILKEN  水豆腐 / 红盒豆腐 (300G/NOS), LETTUCE CORAL RED / LOLLO ROSSA 红珊瑚生菜, CUCUMBER JAPANESE 日本黄瓜 (KG), KOPPERT CRESS - AFFILLA / TENDRIL CRESS (25G/PUN), EGGS CENTURY 皮蛋, RADISH GREEN MEAT 青萝卜, MUSHROOM SHITAKE 花菇, CABBAGE ROUND 包菜",34
大鱼丸,(1A-6B) -七彩鱼丸 900G - SUPER VEG BALL (20 PC),"(1-90)素世界-鱼饼切 WP-500G VEG FISHCAKE SLICE (18 PC), (72B)[ 大包-900G ]一支秀 (大) 素江鱼仔 VEG BLISS ANCHORVI (20 PC), (2B57) 腊肠 WP 1KG TAIWAN SAUSAGE 12KG/CTN (12 PC), 素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (1-90) 素高鲜调味料 908G VEG ENHANCED FLAVOUR SEASONING 908G (10 PC), (1A-11B) (大) 素黑胡椒扒900G VGN BLACK PEPPER STEAK (BIG) (20 PC), (1A24A)(味根香) 素大板鱼500G VGN OSAKA FISH (32 PC), (1-90)素世界-鱼丸 - 500G VGN FISH BALL (18 PC), (3-57) 素虾米粹 500G VEG SOYA MINCED (40 PC), (2B-66) - (齐) 咸鱼 WP 150G- SALTED FISH (24 PC), (1B48A) 金狮猴头菇(味根香)900G VGN GOLDEN MONKEYHEAD MUSH (20 PC), (63)油膏 - 4.4L SOYA PASTE (4 PC), (2B-59) - 如意白页 1KG WP - GOODWILL BEANCAKE (12 PC), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), 日历 CALENDAR ***********, (2B) 素腐皮卷 WP VGN BEANCURD ROLL 36PCS/KG (12 PC), (4-61) (大粒) 鱼饼 [ 天然 ] -500G FISHCAKE (20 PC), (1-90) 素龙虾丸 500G WP LOBSTER BALL (18 PC), 三文鱼 - VEGAN SALMON FISH 230G (100 PC), (2-A-28A)大1KG 莲藕排骨-SPARERIB WITH LOTUS ROOTS (12 PC), (1A-6B) -七彩鱼丸 900G - SUPER VEG BALL (20 PC), (63) 香菇蠔油2.2L - VGN MUSHROOM OYSTER SAUCE (4 PC), OOS(1B-34A)(新) 生余片(旗余)210G- VEGAN SASHIMI (SWORDFISH) 210 (50 PC), (1B-51)午餐肉-800G VGN LUNCHEON MEAT (24PCS) (30 PC), 新春送礼 2025 CNY GIFTS, 1A-10A素叉烧粒 900G VGN VEGETARIAN CHAR SIEW DICED (24 PC)",26
豆枝卷,BEANCURD ROLL,"KOREAN FISH CAKE, TAU KEE PUFF, CHICKEN NGOH HIANG BALL, MALA, CUTTLEFISH NUGGET, CHICKEN BIG NGOH HIANG, FISH FINGER, TEOCHEW FISH MEAT BALL, BEANCURD ROLL, YAKITORI BEANCURD ROLL, SEAFOOD NGOH HIANG BALL, SEAFOOD BEANCURD, SITO-FISH CAKE",13
Carrot,RED CARROT 红萝卜,"LARGE ONION 大洋葱, CHINESE CELERY 芹菜, LEMON GRASS / SERAI 葱毛, RED CARROT 红萝卜, BIG TAU KWA 大豆干, MEDIUM TOMATO 中番茄, SPRING ONION  青葱, KANG KONG 翁菜, BEAN SPROUT 豆芽, PEELED GARLIC 蒜肉, BOMBAY ONION 红大葱, PINEAPPLE 黄梨, BROWN SHIMEIJI MUSHROOM 松菇 / 蟹味菇, RED CHILLI 红辣椒, RED CHILLI PADI 小红辣椒, CORIANDER / CHINESE PARSLEY 芫茜, BLUE GINGER 南姜, SMALL PANDAN LEAF 小香兰叶, GOLDEN TAU KWA 小豆干, LIME LEAF 大柑叶, WHITE CARROT 白萝卜",21
Tomato cherry vine,TOMATO CHERRY VINE RED 枝上红樱桃蕃茄,"THYME 白里香 (50G/PKT), EDIBLE FLOWER - MARIGOLD 万寿菊花 (10G/PUN), LETTUCE CORAL GREEN / LOLLO BIANDO 青珊瑚生菜, EDIBLE FLOWER - WHITE SWEET ALYSSUM 香雪球花 (10G/PUN), ROSEMARY 迷迭香 (50G/PKT), FROZEN GREEN PEA 冷冻青豆 (1KG/PKT), (ES.M) EGYPTIAN STAR MIXED (10G/PUN), ITALIAN BABY SPINACH 波菜苗 (125G/PKT), CHIVES  细香葱 / 西洋细韭菜 (50G/PKT), TOMATO CHERRY VINE RED 枝上红樱桃蕃茄, ITALIAN LETTUCE MIZUNA GREEN 125G 青水菜, STORY FRESH - MESCLUN SALAD 澳洲萨拉 (500G/PKT), LETTUCE ROMAINE / COS LETTUCE 罗曼生菜, (RVS) RED VEIN SORREL CRESS MG, (TND) MICROGREEN - AFFILA / PEA SHOOT / TENDRIL CRESS MG, EDIBLE FLOWER - PURPLE SWEET ALYSSUM (10G/PUN), ITALIAN FLAT PARSLEY 意大利香菜 / 意大利芫荽 (50G/PKT), BASIL 罗勒 / 九辰塔 (50G/PKT), ITALIAN LETTUCE MACHE / CORN SALAD / LAMB SALAD 125G 荷兰生菜, ITALIAN ROCKET ARUGULA SALAD 火箭生菜 (125G/PKT), EDIBLE FLOWERS - OXALIS FLOWERS 40PCS FL_OXF, EDIBLE FLOWER - VIOLA (10G/PUN), POTATO USA / IDAHO / RUSSET 美国土豆 / 美国马铃薯, ITALIAN MESCLUN SALAD 杂菜 (125G/PKT)",24
蛋卷,Egg Roll (蛋卷),"(S) Ma Ti Dan (马蹄蛋)-小, Golden Fish Roe Roll (黄金鱼子卷), BEAN SPROUT CAKE (豆芽饼), PRAWN CRACKER (虾饼), Egg Roll (蛋卷), CHINESE SAUSAGE (灌肠), Chef's Prawn Roll (厨师虾卷), Sliced Ginger (姜片), Fried Fish Ball (炸鱼丸) -A, Liver Roll (猪肝卷), Dou Gan(M) (豆干 - 中), Gan Er (干鹅), Peanut (花生) - 500G/PKT, Big Sotong Ball大苏东丸, Century Egg  (皮蛋), Spring Roll (薄饼), JUMBO BAO BING (薄饼), YAM  ROLL (芋酥), SMALL OIL小桶油, Five Color Roll (五色卷), SOTONG YOU TIAO (苏东油条), Fish Ball (鱼丸)",22
cavendish banana,BANANA CAVENDISH,"ORANGE NAVEL 56 - 72PCS 肉橙子, ORANGE VALENCIA 水橙子 (120G-200G/NOS), LEMONGRASS 香茅, ROSEMARY 迷迭香 (50G/PKT), BANANA SEMI RIPE 香蕉, AVOCADO AUSTRALIA /  澳洲鳄梨 (150G-200G/NOS), SPEARMINT 薄荷叶 (50G/PKT), ORANGE NAVEL 肉橙子 (120G-170G/NOS), BANANA CAVENDISH, ORANGE VALENCIA 水橙子盒装 (80-113PCS/CTN), LEMON YELLOW 黄柠檬 (150G-200G/NOS), PASSION FRUIT 百香果",12
Fresh Seabass whole 700g-1pcs NG,FRESH SEABASS 700G (NG),"PASTEURIZED CRABMEAT JUMBO (453.6GM X 12CAN) EPOH, FRESH SELAR WHOLE, 51/60 PND VANNAMEI SHRIMP (1KG X 10PKTS) - PO, FRESH TIGER PRAWN 21/30, COOKED TIGER PRAWN 31/40, 10KG - PJAA, BLACK TIGER HOSO 10/12 (1KG X 10BOXES) - PJ, PASTEURISED CRABMEAT JUMBO, 454GM X 12CAN, FRESH SQUID 8/10, FRESH RED SNAPPER FILLET, FRESH ANG KA SHRIMP 21/30, SMOKED SALMON PRE-SLICED (900g X 10PKT) - PO, 9kg/ctn, FRESH SEABASS FILLET 200/250, 16/20 PND VANNAMEI SHRIMP (1KG X 10PKTS) - PO, FRESH RED SNAPPER HEAD 450 -550, COOKED TIGER PRAWN 41/50, 10KG - PJ, BLACK TIGER HOSO 16/20 (1OKGS) - PJ, FRESH SEABASS FILLET 130/150, HC PRAWN HEAD - 12KGS, FRESH SEABASS 700G (NG)",23
长大果,LONG FISH CAKE,"SEAFOOD RING ROLL, TAU KEE PUFF, KOREAN FISH CAKE, FRIED FISH BALL, LONG FISH CAKE, FUCHOU FISH FINGER, TEOCHEW FISH MEAT BALL, BEANCURD ROLL, TEOCHEW FISH CAKE (20PCS), SEAFOOD BEANCURD, FISH BEANCURD ROLL",11
Pork loin B/L ( SULINA) - BR,PORK LOIN B/L (SULINA) -18KG BR,"PORK BELLY A R/ON SIN/R SB/I 20x50(BOSELER)VAC DE, PORK BONE IN BACK BONE (L/VALLEY) AUST 背骨, Pork Kidney 猪肾, PORK RIBLET SEMI MEATY (BIGARD[SOCOPA])FR 10KG/CTN, PORK BIG BONE - CUT (TL) 10KG BULK/CTN, PORK BACK BONE (284) AU, Hind Hock Burn Split Half Cut 2 猪脚烧毛开边切半, PORK BACK BONE (GOOD VALLEY) PL, PORK BACK BONE (MACOBA) 10KG -ES, PORK BACK BONE (BONAREA) SPAIN - 10KG, PORK LOIN B/L (SULINA) -18KG BR, PORK BACK BONE (FAMADESA) ES -21KG, Pork Sweet Intestine by Carton-822 箱头猪粉肠, PORK B/L SWEET INTESTINES (DV), PORK BELLY B/L S/L SLICE 2.5MM (OEDO)TP(10PKTx1KG), Pork Maw 猪肚(散), PORK HUMERUS BONES CUT (BOSELER) -10KG DE, PORK STOMACH COOKED (AGROSUPER) -10KG CH, PORK BELLY A S/O SINGLE/R (WILLMS) 20X50 VAC DE, PORK LOIN B/L (FRIMESA) -25KG BR, Loin Bone W/O End 龙骨去尾, PORK HUMERUS BONE HALF CUT (MULLER) DE -10KG",22
English parsley,ENGLISH PARSLEY 西芫西,"MINT LEAF 薄荷叶, HERB ITALIAN PARSLEY 意大利芫西, CAI XIN 菜心, CORIANDER / CHINESE PARSLEY 芫茜, CRISPY CORAL 珊瑚生菜, KAILAN 芥兰, NAI BAI 奶白, ROMAINE LETTUCE 罗马生菜, ENGLISH PARSLEY 西芫西, HERB CHIVE, LETTUCE 生菜, XIAO BAI CAI 小白菜",12
